X,Y,Z,Activity
1972,2373,2126,1
1907,2387,1984,7
1882,2380,1985,3
1899,2385,1993,7
1969,2370,2127,1
1881,2381,1994,3
1928,2388,2049,7
1888,2380,1988,7
1907,2385,1982,7
1919,2383,2007,7
1897,2381,1992,7
1875,2377,1999,7
1878,2386,1988,7
1967,2367,2137,1
1974,2379,2127,1
1903,2383,1970,7
1899,2331,2131,1
1874,2547,1989,4
1877,2379,1983,7
1877,2376,1989,7
1899,2387,1986,7
1877,2384,1997,3
1900,2389,1969,7
1876,2382,1988,3
1911,2387,1991,7
1883,2401,2020,7
1970,2379,2095,1
1955,2376,2106,1
1909,2406,1972,7
1869,2376,1987,7
1969,2377,2121,1
1927,2390,1992,7
1899,2386,1998,7
1962,2376,2113,1
1892,2387,2015,7
1977,2375,2119,1
1905,2385,1971,7
1928,2377,2117,7
2016,2374,2119,4
1898,2381,2100,7
1953,2388,1961,7
1948,2376,2114,7
1891,2382,1968,7
1960,2373,2125,1
1953,2383,2103,1
1963,2369,2133,1
1895,2379,1971,7
1907,2387,1985,7
1871,2385,1994,3
1957,2381,2095,1
1914,2377,2097,7
1969,2373,2125,1
1903,2378,1967,7
1893,2415,2042,4
1971,2373,2127,1
1923,2389,2073,3
1902,2387,1979,7
1896,2383,1997,7
1853,2365,1999,7
1902,2386,1973,7
1912,2382,2020,7
1901,2385,2030,3
1872,2306,2040,4
1779,2459,2016,4
1898,2380,1959,7
1968,2377,2101,1
1916,2391,1980,7
1880,2383,1985,7
1871,2379,2011,7
1926,2388,1994,7
1855,2388,1969,7
2004,2329,2126,4
1964,2385,2095,1
1896,2381,2005,7
1916,2373,2050,7
1921,2368,2092,7
1887,2385,2007,7
1756,2513,2001,4
1959,2382,2109,1
1895,2385,2007,7
1889,2380,2001,7
1875,2416,2043,7
1922,2393,2052,7
1897,2381,2075,7
1882,2371,1968,7
1891,2381,1973,7
1881,2390,2003,7
1965,2373,2112,1
1962,2375,2092,1
1964,2378,2115,1
1883,2479,2068,4
1915,2386,2016,7
1916,2387,2022,7
1883,2380,1971,7
1969,2377,2134,1
1909,2388,1989,7
1800,2450,2018,4
1951,2355,2069,3
1893,2367,2018,7
1899,2382,1979,7
1890,2373,2087,7
1916,2381,2056,7
1911,2385,1999,7
1863,2420,2083,4
1864,2373,2075,7
1966,2381,2121,1
1930,2399,2026,7
1891,2390,1995,3
1904,2383,1958,7
1906,2383,2061,7
1894,2377,1957,7
1877,2339,2023,4
1877,2382,1989,3
1889,2390,1994,7
1872,2377,1993,7
1904,2307,2012,4
1881,2275,2007,4
1952,2382,2091,1
1856,2340,2045,4
1926,2388,1996,7
1909,2389,1985,7
1871,2380,2003,7
1868,2375,2004,7
1903,2386,1985,7
1931,2391,2045,7
1955,2379,2155,7
1959,2378,2092,1
1883,2382,2011,7
1913,2383,1965,7
1878,2381,1988,7
1916,2389,2042,7
1976,2378,2120,1
1869,2378,1989,7
1956,2378,2111,1
1969,2417,2083,7
1889,2378,2007,3
1904,2381,1989,7
1900,2344,1993,7
1882,2356,2050,7
1896,2383,1967,7
1908,2389,1977,7
1899,2390,1960,7
1974,2373,2125,1
1903,2384,1965,7
1911,2388,1973,7
1915,2289,2082,4
1904,2320,2032,4
1952,2380,2125,7
1899,2383,1961,7
1906,2385,1981,7
1829,2506,1947,4
1896,2386,1967,7
1878,2379,2073,7
1975,2383,2124,1
1965,2374,2102,1
1911,2386,1987,7
1884,2378,1986,7
1966,2371,2118,1
1949,2369,2115,4
1916,2389,2003,7
1957,2379,2110,1
1900,2382,1983,7
1865,2364,2170,7
1907,2388,1964,7
1965,2370,2130,1
1893,2377,2089,7
1932,2389,2087,7
1915,2391,2012,3
1890,2360,2049,4
1902,2383,1988,7
1926,2388,2005,7
1960,2378,2122,1
1873,2380,2010,7
1968,2390,1969,7
1925,2386,2070,7
1967,2375,2115,1
1894,2381,2002,7
1915,2387,2037,3
1899,2383,2031,3
1905,2503,2023,4
1870,2375,2007,7
1876,2545,1929,4
1901,2387,2032,3
1900,2386,1990,7
1911,2382,1984,7
1933,2372,2053,7
1888,2376,1973,3
1962,2376,2112,1
1878,2378,2002,7
1881,2380,1987,7
